Name,Title,Company,Youtube URL
Tim Minihan,CMO & EVP Strategy,Citrix,https://www.youtube.com/watch?v=0HZkD_sWNP4
Alicia Tillman,CMO,SAP,https://www.youtube.com/watch?v=B3ZB0ymbXMk
Ben Gibson,Chief Marketing Officer,Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008
Monica Kumar,SVP, Product & Solutions Marketing,Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008
Allison Dew,CMO,Dell Technologies,https://www.youtube.com/watch?v=bAEmtntOaRs
Sara Varni,CMO,Twilio,https://www.youtube.com/watch?v=ddP43vhGcxA
Micheline Nijmeh,CMO,Zscaler,https://www.youtube.com/watch?v=9-15w8tfCqk
Alison Wagonfeld,CMO,Google Cloud,https://www.youtube.com/watch?v=oNQm0gD5D7o
Partha Seetala,Co-founder and CTO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
Radhesh Menon,CMO,Robin.io,https://www.youtube.com/watch?v=s7VaHEspI7E
Joyce Kim,CMO,Arm,https://www.youtube.com/watch?v=RDozwF6Ddn8
Tim Minahan,EVP of Business Strategy and CMO,Citrix,https://www.youtube.com/watch?v=GgG3bzKPYNw
Joel Horwitz,CMO,WANdisco,https://www.youtube.com/watch?v=fq5Y4zkaXHU
Steve Pappas,SVP and CMO,Panviva,https://www.youtube.com/watch?v=2JOc1cSQXrQ
Dayna Rothman,VP of Marketing,Mesosphere,https://www.youtube.com/watch?v=vkbsWzV16kE
Carter Lloyds,(Title not specified),QAD,https://www.youtube.com/watch?v=RO9XVVQge_A
Tom Murphy,Chief Marketing Officer,Turbonomic,https://www.youtube.com/watch?v=DCE9aR2kga0
Simon Townsend,Chief Marketing Officer EMEA,IGEL,https://www.youtube.com/watch?v=zhIAUxybAcE
Jean English,Senior Vice President and Chief Marketing Officer,NetApp,https://www.youtube.com/watch?v=ualozF4rCog
Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=xVrJe4ncRQw
Karen Leavitt,Chief Marketing Officer,Locus Robotics,https://www.youtube.com/watch?v=wra9Gi5iXd0
Meagen Eisenberg,CMO,MongoDB,https://www.youtube.com/watch?v=kiz_gFEP_7k
Gil Levonai,Chief Marketing Officer,Zerto,https://www.youtube.com/watch?v=73jd9HMQUwg
Boris Renski,Co Founder and CMO,Mirantis,https://www.youtube.com/watch?v=EcxoQizrOPw
Kate Hutchison,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=XBU2erWRwls
Robin Matlock,—,VMware,https://www.youtube.com/watch?v=af-72a18bqs
Boris Renski,—,Mirantis,https://www.youtube.com/watch?v=fY8MTjMYOzU
Jonathan Donaldson,—,Intel,https://www.youtube.com/watch?v=fY8MTjMYOzU
Elizabeth Kays,—,—,https://www.youtube.com/watch?v=Ngk_hpiySNk
Elizabeth Kays,—,—,https://www.youtube.com/watch?v=6tqv9h3dNMs
Elizabeth Kays,—,—,https://www.youtube.com/watch?v=vWVklGMGpmo
Heather Johnson,—,—,https://www.youtube.com/watch?v=wjE1p2TmDA4
Marge Breya,—,Informatica,https://www.youtube.com/watch?v=jraIYgLFLeE
Nelson Williams,—,—,https://www.youtube.com/watch?v=enk7DbBXWHY
Nancy Pearson,CMO,IBM Cloud,https://www.youtube.com/watch?v=ndDYjJCfUBc
John Bara,CMO & President,Mintigo,https://www.youtube.com/watch?v=bTSFqIFJqrs
Jack Norris,CMO,MapR,https://www.youtube.com/watch?v=RMGidzipxf8
Lynn Vojvodich,CMO,Salesforce,https://www.youtube.com/watch?v=uOscALSrGm0
Steve Sommer,—,Splunk,https://www.youtube.com/watch?v=rgMFeRDJkSs
Eric Herzog,—,Violin Memory,https://www.youtube.com/watch?v=2M-wlrMPfBs
Brian Weiss,—,HP Autonomy,https://www.youtube.com/watch?v=lrr5DVP6A54
Eric Herzog,CMO & SVP of Alliances,Violin Memory,https://www.youtube.com/watch?v=CMzv71swatY
Bobby Patrick,—,HP Cloud,https://www.youtube.com/watch?v=hJnMANl-Mkk
David Gibson,CMO,Varonis,https://www.youtube.com/watch?v=DZ9aWxLSm5w
Gary Orenstein,—,Fusion-io,https://www.youtube.com/watch?v=wW__lgrsdeQ
Boris Renski,—,Mirantis,https://www.youtube.com/watch?v=R7pEEA4xtbA
George Mathew,—,Alteryx,https://www.youtube.com/watch?v=usiZHdn7nGA
Abhishek Mehta,—,Tresata,https://www.youtube.com/watch?v=EdksfvSSyS4
Jack Norris,—,MapR,https://www.youtube.com/watch?v=v_dtAG3l0hw
Jim Campigli,—,WANdisco,https://www.youtube.com/watch?v=RbJ2ydFF5I0
Gary Orenstein,—,Fusion-io,https://www.youtube.com/watch?v=JUhnEz7SrGQ
Jim Walker,—,Hortonworks,https://www.youtube.com/watch?v=Ap-P5UHg3x4
Jack Norris,—,MapR,https://www.youtube.com/watch?v=JBnF9NYBn_A
Bruno Aziza,CMO,Alpine Data Labs,https://www.youtube.com/watch?v=QGK1smZGEkQ
Steve Sommer,CMO,Splunk,https://www.youtube.com/watch?v=cYCbdwppsng
Elissa Fink,CMO,Tableau,https://www.youtube.com/watch?v=qLxbhk3U_7w
Rick Jackson,CMO,Rackspace,https://www.youtube.com/watch?v=dQ25Nj6w8Bw
Beth Comstock,CMO,GE,https://www.youtube.com/watch?v=JCSQeVImbKQ
Rafiq Mohammadi,—,HP Autonomy,https://www.youtube.com/watch?v=eqWieO_EKnU
Nina Buik,—,Connect Worldwide,https://www.youtube.com/watch?v=78F6-dYY7FY
Beth White,CMO,ServiceNow,https://www.youtube.com/watch?v=359buNsYgO4
Shane Robison,—,Fusion-io,https://www.youtube.com/watch?v=E2XAVOmyWV8
Jeremy Burton,—,EMC,https://www.youtube.com/watch?v=N5S-jtzFQaw
Sanjay Sarathy,CMO,Sumo Logic,https://www.youtube.com/watch?v=xLzC7euPAyw
Jack Norris,CMO,MapR,https://www.youtube.com/watch?v=-60I4vLXKxg
Karen Quintos,—,Dell,https://www.youtube.com/watch?v=yuHJ0xj0_kM
Steve Sommer,CMO,Splunk,https://www.youtube.com/watch?v=fHU7sL6Ixxw
Rick Jackson,CMO,VMware,https://www.youtube.com/watch?v=T8fSG4oK48U
Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=P77PqfzhiLM
Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=yUYJYi33tUA
David Parsons,VP - Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=Ct9AcyRMrOo
Jeremy Burton,CMO,EMC,https://www.youtube.com/watch?v=ksIoJAKiYGA
